dependents,education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
2, Graduate, No,9600000,29900000,12,778, Approved
0, Not Graduate, Yes,4100000,12200000,8,417, Rejected
3, Graduate, No,9100000,29700000,20,506, Rejected
3, Graduate, No,8200000,30700000,8,467, Rejected
5, Not Graduate, Yes,9800000,24200000,20,382, Rejected
0, Graduate, Yes,4800000,13500000,10,319, Rejected
5, Graduate, No,8700000,33000000,4,678, Approved
2, Graduate, Yes,5700000,15000000,20,382, Rejected
0, Graduate, Yes,800000,2200000,20,782, Approved
5, Not Graduate, No,1100000,4300000,10,388, Rejected
4, Graduate, Yes,2900000,11200000,2,547, Approved
2, Not Graduate, Yes,6700000,22700000,18,538, Rejected
3, Not Graduate, Yes,5000000,11600000,16,311, Rejected
2, Graduate, Yes,9100000,31500000,14,679, Approved
1, Not Graduate, No,1900000,7400000,6,469, Rejected
5, Not Graduate, No,4700000,10700000,10,794, Approved
2, Graduate, Yes,500000,1600000,4,663, Approved
4, Not Graduate, Yes,2900000,9400000,14,780, Approved
2, Graduate, No,2700000,10300000,10,736, Approved
5, Graduate, No,6300000,14600000,12,652, Approved
2, Graduate, No,5000000,19400000,12,315, Rejected
4, Graduate, No,5800000,14000000,16,530, Rejected
4, Graduate, Yes,6500000,25700000,18,311, Rejected
0, Not Graduate, Yes,500000,1400000,2,551, Approved
0, Not Graduate, No,4900000,9800000,16,324, Rejected
5, Not Graduate, No,3100000,9500000,20,514, Rejected
4, Graduate, No,8200000,28100000,12,696, Approved
4, Not Graduate, Yes,2400000,5600000,4,662, Approved
5, Not Graduate, Yes,7000000,24000000,6,336, Rejected
3, Not Graduate, Yes,9000000,31500000,10,850, Approved
2, Not Graduate, No,9800000,25300000,12,313, Rejected
2, Graduate, No,5700000,12000000,6,363, Rejected
1, Not Graduate, Yes,800000,1600000,10,436, Rejected
5, Not Graduate, Yes,8400000,22000000,2,830, Approved
3, Graduate, No,4900000,11900000,8,612, Approved
2, Graduate, Yes,1700000,3400000,8,691, Approved
3, Not Graduate, No,1600000,6200000,18,636, Approved
5, Graduate, Yes,8000000,27200000,6,348, Rejected
5, Graduate, No,3600000,7700000,16,830, Approved
3, Not Graduate, Yes,1500000,5100000,6,352, Rejected
1, Graduate, No,7800000,18100000,2,712, Approved
2, Not Graduate, No,9100000,24900000,16,822, Approved
3, Graduate, No,1400000,3400000,6,540, Rejected
2, Graduate, Yes,800000,2300000,12,342, Rejected
5, Graduate, No,6500000,13400000,18,787, Approved
4, Graduate, No,8000000,27800000,16,331, Rejected
3, Not Graduate, Yes,4200000,14600000,6,679, Approved
1, Graduate, Yes,4900000,19100000,14,677, Approved
3, Not Graduate, No,5500000,20500000,12,634, Approved
1, Not Graduate, Yes,9500000,19100000,16,662, Approved
4, Graduate, No,7300000,25400000,16,502, Rejected
2, Graduate, No,8700000,24700000,10,435, Rejected
5, Not Graduate, No,3800000,7600000,4,689, Approved
1, Not Graduate, Yes,8400000,23000000,12,657, Approved
2, Graduate, Yes,5100000,19700000,20,590, Approved
5, Not Graduate, No,6700000,24500000,12,818, Approved
2, Not Graduate, No,4300000,10600000,18,431, Rejected
5, Graduate, Yes,9300000,30500000,18,841, Approved
1, Graduate, No,7400000,18400000,20,421, Rejected
4, Not Graduate, Yes,5500000,18200000,16,797, Approved
2, Not Graduate, No,8500000,18900000,18,478, Rejected
3, Not Graduate, Yes,9600000,30500000,18,669, Approved
5, Not Graduate, Yes,8800000,28900000,6,365, Rejected
3, Not Graduate, Yes,3300000,7500000,20,586, Approved
4, Graduate, Yes,3900000,12300000,18,784, Approved
1, Graduate, No,4100000,10300000,12,364, Rejected
3, Not Graduate, No,8300000,29100000,10,715, Approved
0, Not Graduate, Yes,2700000,10100000,20,693, Rejected
4, Graduate, No,5600000,12400000,4,777, Approved
0, Graduate, No,1900000,5000000,12,312, Rejected
4, Not Graduate, Yes,500000,1500000,20,340, Rejected
5, Graduate, Yes,5300000,18600000,4,386, Approved
5, Not Graduate, No,7000000,18300000,4,418, Rejected
3, Not Graduate, Yes,5800000,16700000,16,735, Approved
2, Not Graduate, No,2600000,8400000,6,494, Rejected
2, Not Graduate, No,1900000,6500000,18,671, Approved
4, Graduate, No,5700000,14800000,16,697, Approved
0, Graduate, No,9000000,33500000,8,801, Approved
2, Not Graduate, No,8500000,29400000,12,576, Approved
0, Not Graduate, No,700000,1400000,14,639, Approved
4, Graduate, No,3500000,8900000,4,470, Rejected
0, Not Graduate, No,8800000,31200000,4,826, Approved
2, Not Graduate, Yes,9900000,21200000,16,363, Rejected
3, Graduate, No,3600000,8600000,20,613, Approved
3, Not Graduate, Yes,3000000,8200000,16,713, Approved
2, Graduate, No,6800000,21200000,16,439, Rejected
5, Not Graduate, Yes,1100000,3800000,18,387, Rejected
1, Not Graduate, Yes,8700000,28300000,8,402, Rejected
4, Graduate, Yes,2000000,8000000,6,837, Approved
2, Not Graduate, No,9800000,37600000,10,641, Approved
4, Graduate, No,5700000,21100000,18,489, Rejected
4, Graduate, No,8800000,20700000,18,540, Rejected
4, Graduate, No,3800000,8900000,4,844, Approved
1, Graduate, No,1700000,6400000,10,452, Rejected
2, Graduate, No,1000000,2000000,10,366, Rejected
5, Graduate, No,300000,1100000,2,300, Approved
2, Graduate, Yes,6600000,15000000,18,470, Rejected
2, Not Graduate, No,8700000,25000000,20,861, Approved
4, Graduate, No,9400000,29400000,12,562, Approved
0, Graduate, No,4400000,10800000,14,463, Rejected
4, Not Graduate, No,400000,900000,12,478, Rejected
2, Not Graduate, Yes,300000,1100000,2,702, Approved
2, Not Graduate, Yes,4300000,12900000,20,618, Approved
4, Graduate, No,1600000,4500000,12,633, Approved
5, Not Graduate, Yes,6200000,23600000,10,331, Rejected
3, Not Graduate, Yes,4200000,9700000,16,841, Approved
4, Not Graduate, Yes,9000000,18100000,12,764, Approved
0, Graduate, No,2700000,10600000,6,591, Approved
1, Graduate, Yes,9700000,35900000,2,719, Approved
2, Graduate, No,3300000,6800000,14,317, Rejected
0, Not Graduate, No,300000,1100000,8,778, Approved
3, Graduate, Yes,7400000,18200000,14,302, Rejected
5, Not Graduate, No,7100000,19700000,8,502, Rejected
5, Not Graduate, Yes,7300000,22100000,18,879, Approved
1, Not Graduate, No,8400000,23400000,14,437, Rejected
0, Not Graduate, Yes,3300000,10800000,12,797, Approved
4, Not Graduate, Yes,5800000,23200000,18,456, Rejected
0, Not Graduate, No,600000,1600000,6,647, Approved
0, Not Graduate, No,7200000,15800000,12,379, Rejected
1, Not Graduate, Yes,9100000,32900000,2,717, Approved
5, Graduate, No,900000,2300000,16,545, Rejected
2, Graduate, No,800000,3200000,8,317, Rejected
1, Not Graduate, No,8500000,32900000,10,570, Approved
0, Not Graduate, Yes,9000000,18700000,18,865, Approved
3, Graduate, No,7000000,19500000,14,719, Approved
3, Graduate, No,200000,600000,16,821, Approved
4, Not Graduate, Yes,400000,800000,10,859, Approved
3, Not Graduate, No,5100000,18200000,10,395, Rejected
2, Not Graduate, Yes,700000,2600000,12,429, Rejected
3, Graduate, No,400000,1200000,12,861, Approved
0, Not Graduate, Yes,9500000,20800000,14,565, Approved
5, Graduate, No,8800000,22600000,10,357, Rejected
3, Not Graduate, Yes,1800000,3600000,18,465, Rejected
4, Not Graduate, Yes,6800000,13900000,8,479, Rejected
3, Not Graduate, No,1500000,5500000,16,717, Approved
3, Graduate, No,1600000,5500000,12,425, Rejected
2, Not Graduate, No,4600000,16700000,2,786, Approved
5, Not Graduate, Yes,2200000,6700000,6,382, Rejected
3, Not Graduate, Yes,2900000,8500000,12,564, Approved
0, Graduate, No,200000,700000,8,501, Rejected
2, Not Graduate, Yes,2500000,9400000,10,727, Approved
4, Not Graduate, No,3600000,7500000,6,894, Approved
0, Graduate, Yes,5500000,16700000,18,829, Approved
4, Not Graduate, No,6600000,17400000,20,506, Rejected
2, Graduate, Yes,8600000,32100000,6,802, Approved
5, Not Graduate, No,600000,1500000,14,543, Rejected
3, Graduate, Yes,1400000,3200000,20,772, Approved
3, Graduate, No,4000000,11100000,12,572, Approved
0, Not Graduate, Yes,4900000,11900000,16,709, Approved
5, Graduate, No,2000000,6200000,18,402, Rejected
1, Not Graduate, Yes,5200000,19300000,8,481, Rejected
5, Graduate, Yes,8900000,28800000,6,772, Approved
1, Graduate, Yes,6500000,20600000,2,306, Approved
2, Not Graduate, No,1300000,4500000,6,415, Rejected
3, Not Graduate, No,9400000,35000000,16,548, Rejected
5, Not Graduate, No,5000000,11200000,8,701, Approved
2, Graduate, No,3000000,7700000,12,890, Approved
5, Not Graduate, Yes,9900000,33300000,6,364, Rejected
5, Graduate, Yes,700000,1300000,20,704, Approved
3, Graduate, Yes,4000000,10600000,10,318, Rejected
5, Not Graduate, No,3100000,9600000,2,761, Approved
4, Not Graduate, No,4500000,15100000,6,693, Approved
3, Not Graduate, No,9700000,20600000,16,524, Rejected
2, Not Graduate, Yes,2000000,5300000,10,681, Approved
2, Graduate, Yes,8100000,22300000,18,737, Approved
0, Not Graduate, No,5700000,15900000,16,638, Approved
4, Not Graduate, No,5800000,12800000,2,656, Approved
1, Graduate, No,1800000,6500000,6,540, Rejected
4, Not Graduate, Yes,9100000,35200000,6,341, Rejected
0, Not Graduate, Yes,4800000,17500000,2,371, Approved
3, Not Graduate, Yes,3800000,10500000,12,886, Approved
0, Not Graduate, No,1900000,4100000,18,801, Approved
3, Not Graduate, Yes,3600000,9500000,16,748, Approved
2, Not Graduate, Yes,7400000,28200000,8,376, Rejected
4, Not Graduate, Yes,6600000,14300000,8,371, Rejected
2, Graduate, No,1800000,5300000,6,826, Approved
4, Not Graduate, No,9200000,27200000,12,873, Approved
5, Not Graduate, Yes,2400000,8600000,8,309, Rejected
4, Not Graduate, No,5600000,13300000,20,869, Approved
5, Graduate, No,3800000,13900000,12,534, Rejected
3, Not Graduate, Yes,4500000,17900000,6,787, Approved
0, Graduate, Yes,900000,2200000,16,566, Approved
0, Not Graduate, No,2800000,9900000,8,742, Approved
2, Not Graduate, No,7500000,23100000,4,824, Approved
4, Graduate, No,1400000,3100000,14,575, Approved
2, Graduate, Yes,3800000,10900000,10,766, Approved
1, Not Graduate, Yes,1700000,5000000,10,888, Approved
3, Graduate, Yes,9000000,30400000,6,638, Approved
5, Not Graduate, Yes,7300000,23300000,6,622, Approved
1, Not Graduate, No,7400000,19800000,18,458, Rejected
1, Not Graduate, No,9000000,28200000,16,327, Rejected
0, Not Graduate, No,3000000,6500000,2,612, Approved
1, Graduate, No,800000,2900000,8,682, Approved
2, Graduate, No,4800000,13200000,2,583, Approved
5, Not Graduate, No,6400000,18300000,8,697, Approved
3, Graduate, No,9200000,27100000,12,306, Rejected
4, Not Graduate, Yes,400000,1500000,2,669, Approved
2, Not Graduate, No,2800000,6000000,18,816, Approved
4, Not Graduate, Yes,8500000,28900000,20,455, Rejected
3, Graduate, Yes,4700000,16400000,10,318, Rejected
4, Not Graduate, Yes,9800000,21200000,20,355, Rejected
2, Not Graduate, Yes,3800000,8900000,16,389, Rejected
2, Graduate, No,500000,1500000,2,888, Approved
2, Graduate, Yes,6900000,15600000,6,352, Rejected
4, Not Graduate, Yes,9600000,30100000,12,870, Approved
3, Not Graduate, No,2900000,6500000,18,827, Approved
2, Graduate, No,9800000,20900000,12,768, Approved
0, Graduate, No,7100000,15400000,18,707, Approved
1, Not Graduate, Yes,7700000,19100000,10,355, Rejected
3, Graduate, No,1400000,3300000,2,652, Approved
3, Graduate, No,7800000,15900000,2,665, Approved
5, Not Graduate, Yes,1700000,6000000,18,420, Rejected
2, Not Graduate, No,8500000,32700000,18,471, Rejected
5, Not Graduate, No,1900000,7500000,20,715, Approved
2, Not Graduate, Yes,6700000,15200000,10,689, Approved
3, Graduate, Yes,6900000,16400000,4,787, Approved
2, Graduate, No,2600000,7800000,4,819, Approved
4, Graduate, Yes,9600000,21100000,6,809, Approved
1, Not Graduate, Yes,6800000,17000000,2,744, Approved
0, Not Graduate, No,3200000,11300000,6,484, Rejected
4, Not Graduate, No,2900000,10400000,6,673, Approved
3, Graduate, Yes,7900000,21200000,18,695, Approved
4, Not Graduate, Yes,3900000,12400000,12,473, Rejected
4, Graduate, Yes,4600000,11000000,2,491, Rejected
3, Not Graduate, Yes,700000,1700000,8,733, Approved
0, Not Graduate, No,5200000,15600000,20,434, Rejected
3, Not Graduate, Yes,5900000,20600000,10,777, Approved
4, Graduate, No,7200000,19100000,4,774, Approved
1, Not Graduate, Yes,8700000,27000000,10,717, Approved
3, Not Graduate, Yes,1100000,3500000,12,503, Rejected
1, Graduate, Yes,4000000,10900000,14,598, Approved
2, Graduate, No,9800000,32400000,2,543, Approved
0, Not Graduate, Yes,2700000,6800000,20,796, Approved
3, Not Graduate, Yes,8800000,34600000,8,386, Rejected
5, Not Graduate, Yes,3300000,7800000,16,632, Approved
1, Graduate, Yes,6900000,23400000,4,481, Approved
3, Graduate, Yes,900000,3500000,4,770, Rejected
3, Graduate, Yes,4100000,15500000,6,667, Approved
3, Not Graduate, Yes,4700000,17500000,8,585, Approved
5, Graduate, Yes,3400000,11600000,16,479, Rejected
2, Graduate, No,9600000,22500000,18,851, Approved
3, Not Graduate, Yes,7000000,16200000,6,378, Rejected
5, Graduate, No,5700000,12900000,18,807, Approved
1, Not Graduate, Yes,8200000,32400000,18,831, Approved
2, Not Graduate, No,2100000,5100000,12,674, Approved
1, Not Graduate, Yes,8000000,28100000,18,725, Approved
2, Not Graduate, No,8000000,29300000,4,600, Approved
0, Not Graduate, Yes,9400000,27000000,10,536, Rejected
0, Graduate, No,8400000,20600000,10,477, Rejected
1, Not Graduate, Yes,1900000,5000000,6,560, Approved
0, Not Graduate, Yes,4200000,16400000,20,539, Rejected
5, Graduate, No,2600000,9100000,8,852, Approved
3, Not Graduate, No,3700000,8500000,20,853, Approved
0, Graduate, No,8800000,30900000,12,729, Approved
2, Not Graduate, No,2100000,4700000,2,546, Rejected
3, Graduate, Yes,900000,2400000,10,489, Rejected
3, Graduate, Yes,9800000,35400000,6,869, Approved
2, Not Graduate, No,8000000,20000000,2,502, Rejected
0, Graduate, No,9800000,38800000,8,652, Approved
0, Not Graduate, Yes,300000,1100000,8,789, Approved
4, Not Graduate, No,2700000,8100000,4,325, Approved
3, Graduate, Yes,7400000,19600000,2,716, Approved
3, Graduate, No,9200000,34300000,18,523, Rejected
5, Not Graduate, No,9500000,22200000,20,352, Rejected
5, Graduate, Yes,3800000,14400000,2,345, Approved
0, Graduate, No,8300000,19400000,18,649, Approved
2, Graduate, Yes,2800000,7400000,18,666, Approved
0, Graduate, No,8600000,20900000,10,813, Approved
0, Not Graduate, No,5400000,16800000,10,599, Approved
5, Graduate, Yes,4200000,9400000,6,678, Approved
5, Not Graduate, No,5200000,12200000,20,513, Rejected
5, Graduate, No,9400000,27900000,4,870, Approved
3, Graduate, No,8800000,20400000,8,483, Rejected
1, Graduate, Yes,5900000,16700000,16,308, Rejected
3, Graduate, Yes,1700000,4900000,16,591, Approved
1, Not Graduate, No,7000000,23000000,10,886, Approved
4, Not Graduate, No,1700000,4000000,6,829, Approved
0, Not Graduate, No,1500000,4900000,12,651, Approved
4, Not Graduate, No,2000000,4700000,18,733, Approved
5, Graduate, Yes,3900000,15500000,12,433, Rejected
1, Graduate, Yes,900000,3600000,14,713, Approved
1, Graduate, No,6900000,22500000,18,403, Rejected
0, Graduate, Yes,2800000,7800000,10,405, Rejected
3, Graduate, Yes,6800000,19900000,10,516, Rejected
4, Not Graduate, Yes,600000,1800000,8,417, Rejected
1, Not Graduate, No,4700000,14000000,6,468, Rejected
5, Graduate, Yes,3000000,11800000,10,672, Approved
5, Not Graduate, No,4000000,13900000,6,530, Rejected
1, Not Graduate, Yes,3100000,11300000,14,824, Approved
1, Not Graduate, Yes,7700000,25500000,12,549, Rejected
5, Not Graduate, Yes,4300000,9300000,10,450, Rejected
1, Graduate, Yes,5800000,19500000,20,431, Rejected
3, Graduate, Yes,3600000,10700000,16,312, Rejected
0, Not Graduate, Yes,2900000,7600000,8,320, Rejected
0, Graduate, No,8800000,20200000,4,433, Rejected
1, Not Graduate, Yes,300000,1000000,10,431, Rejected
5, Not Graduate, Yes,8600000,28900000,8,516, Rejected
2, Not Graduate, Yes,3500000,12000000,14,476, Rejected
5, Graduate, No,800000,2600000,6,560, Approved
2, Graduate, No,8000000,27100000,12,674, Approved
0, Not Graduate, Yes,9900000,38200000,6,573, Approved
2, Not Graduate, No,3300000,6600000,6,331, Rejected
4, Graduate, Yes,2000000,6700000,12,633, Approved
3, Not Graduate, No,4900000,12900000,18,877, Approved
5, Not Graduate, Yes,9200000,23600000,12,656, Approved
0, Not Graduate, No,7500000,18200000,6,782, Approved
5, Not Graduate, No,9000000,29300000,4,531, Approved
3, Not Graduate, No,1400000,4100000,8,455, Rejected
3, Graduate, No,9600000,19900000,14,452, Rejected
2, Graduate, No,8400000,33200000,14,474, Rejected
3, Not Graduate, No,6400000,24400000,4,483, Approved
4, Graduate, No,5900000,16800000,8,481, Rejected
2, Graduate, Yes,2200000,5100000,20,859, Approved
4, Graduate, Yes,5600000,14100000,14,696, Approved
4, Not Graduate, No,9800000,28700000,6,778, Approved
4, Graduate, No,4400000,14600000,4,499, Approved
2, Not Graduate, Yes,2400000,4900000,4,888, Approved
1, Graduate, No,4400000,10800000,12,674, Approved
4, Graduate, No,3700000,13200000,4,802, Approved
4, Not Graduate, Yes,2300000,7800000,8,540, Rejected
4, Graduate, Yes,5900000,19600000,8,726, Approved
4, Not Graduate, Yes,6400000,23500000,2,485, Approved
4, Graduate, Yes,4900000,17100000,6,612, Approved
3, Not Graduate, Yes,9500000,24200000,8,879, Approved
2, Not Graduate, No,5700000,16400000,12,708, Approved
2, Not Graduate, Yes,2700000,5700000,8,850, Approved
2, Not Graduate, Yes,3900000,11300000,12,516, Rejected
0, Not Graduate, No,7800000,28800000,12,465, Rejected
0, Graduate, No,1100000,3200000,20,716, Approved
4, Not Graduate, No,200000,600000,10,404, Rejected
0, Not Graduate, Yes,4700000,10600000,20,512, Rejected
